AP Name,AP Description,AP Mac,AP IPv4,AP IPv6,Product Version,AP Serial No,AP addition time,AP 1st online time,Site Name,Site Location,Site Description,SAP ID,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,Report Start Time,Report End Time,Total Duration (minutes),Total Uptime (minutes),Total Downtime (minutes),Uptime %,Downtime %
PALC,,00:06:ae:6d:7b:0d,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,12.1.0.16,2202723600001,10-01-2025 10:02:02,10-01-2025 10:11:28,Guest_BLR | TEST-A | TEST-A,D32,,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
HFCL3,,00:06:ae:63:03:31,192.168.171.55,,12.0.9.7,2211723601284,15-01-2025 11:45:29,15-01-2025 11:47:54,BLR-WIFILAB,ban,,ban,BLR-WIFILAB,BLR-WIFILAB,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,0.00,1440.00,0.00,100.00
HFCL-63:00:23,WiFi_A,00:06:ae:63:00:23,192.168.170.63,,12.0.5.12,2211723601321,04-01-2024 13:40:38,04-01-2024 13:43:19,BLR-WIFILAB,ban,,ban,BLR-WIFILAB,BLR-WIFILAB,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,0.00,1440.00,0.00,100.00
Demo,,00:06:ae:60:9d:95,192.168.180.131,,12.0.4.5,2302723601058,01-10-2024 17:29:37,01-10-2024 17:33:18,Demo,ban,,1234,Demo,Demo,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,0.00,1440.00,0.00,100.00
Zone-A,Zone A,00:06:ae:60:7b:b7,172.24.22.36,fe80::206:aeff:fe60:7bb7,12.1.0.16,2303723600258,04-01-2024 14:50:41,04-01-2024 14:55:39,5G_R&D,BLR,,1111,5G_R&D,5G_R&D,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
Zone-D1,,00:06:ae:60:65:89,172.24.19.237,,12.1.0.1,2303723600402,24-01-2024 15:31:55,24-01-2024 15:35:17,5G_R&D,BLR,,1111,5G_R&D,5G_R&D,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,0.00,1440.00,0.00,100.00
Zone-D2,ZONE D2,00:06:ae:60:57:db,172.24.22.103,fe80::206:aeff:fe60:57db,12.1.0.16,2303723600535,10-01-2024 10:21:27,10-01-2024 10:39:21,5G_R&D,BLR,,1111,5G_R&D,5G_R&D,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
Zone_B1,,00:06:ae:60:0f:57,172.24.23.138,fe80::206:aeff:fe60:f57,12.1.0.16,2303723601052,04-04-2024 16:35:52,04-04-2024 16:47:30,5G_R&D,BLR,,1111,5G_R&D,5G_R&D,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
Wallplate,"",00:06:ae:c4:57:66,192.168.70.92,fe80::206:aeff:fec4:5766,13.1.0.16,2305722604239,24-04-2025 16:39:09,25-04-2025 12:46:21,Guest_BLR | TEST-A | TEST-A,D32,,6361,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
AP-1,"",00:06:ae:86:9c:53,14.14.247.182,2402:2::18,17.0.10.3,2404722000632,15-04-2025 16:02:56,15-04-2025 16:11:38,IopassTEST,GGN,,4514451,IopassTEST,IopassTEST,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,0.00,1440.00,0.00,100.00
ion12xi_h2,,00:06:ae:84:f8:33,172.24.21.149,fe80::206:aeff:fe84:f833,17.1.0.16,2404722001874,21-11-2024 11:50:55,21-11-2024 11:51:19,5G_R&D,BLR,,1111,5G_R&D,5G_R&D,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
HFCL-cb:00:33,,00:06:ae:cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,12.1.0.16,2407723800437,27-01-2025 13:20:37,27-01-2025 13:20:49,BLR-WIFILAB,ban,,ban,BLR-WIFILAB,BLR-WIFILAB,,,,,14-05-2025 16:28:00,15-05-2025 16:28:00,1440.00,1440.00,0.00,100.00,0.00
